date,city,city_name,total,houses,non_houses
2003-05-01,Melbourne,Greater Melbourne,2978.0,2017.0,961.0
2003-05-01,Brisbane,Greater Brisbane,1426.0,1142.0,284.0
2003-05-01,Adelaide,Greater Adelaide,619.0,525.0,94.0
2003-05-01,Perth,Greater Perth,1735.0,1363.0,372.0
2003-05-01,Hobart,Greater Hobart,87.0,83.0,4.0
2003-05-01,Darwin,Greater Darwin,54.0,18.0,36.0
2003-05-01,ACT,Australian Capital Territory,192.0,151.0,41.0
2003-06-01,Sydney,Greater Sydney,2057.0,895.0,1162.0
2003-06-01,Melbourne,Greater Melbourne,3096.0,2203.0,893.0
2003-06-01,Brisbane,Greater Brisbane,1471.0,1122.0,349.0
2003-06-01,Adelaide,Greater Adelaide,655.0,564.0,91.0
2003-06-01,Perth,Greater Perth,1971.0,1640.0,331.0
2003-06-01,Hobart,Greater Hobart,73.0,71.0,2.0
2003-06-01,Darwin,Greater Darwin,42.0,36.0,6.0
2003-06-01,ACT,Australian Capital Territory,162.0,160.0,2.0
2003-07-01,Sydney,Greater Sydney,2716.0,843.0,1873.0
2003-07-01,Melbourne,Greater Melbourne,2777.0,2263.0,514.0
2003-07-01,Brisbane,Greater Brisbane,2084.0,1404.0,680.0
2003-07-01,Adelaide,Greater Adelaide,787.0,650.0,137.0
2003-07-01,Perth,Greater Perth,1660.0,1368.0,292.0
2003-07-01,Hobart,Greater Hobart,161.0,101.0,60.0
2003-07-01,Darwin,Greater Darwin,48.0,34.0,14.0
2003-07-01,ACT,Australian Capital Territory,186.0,127.0,59.0
2003-08-01,Sydney,Greater Sydney,2622.0,780.0,1842.0
2003-08-01,Melbourne,Greater Melbourne,2798.0,2032.0,766.0
2003-08-01,Brisbane,Greater Brisbane,1728.0,1241.0,487.0
2003-08-01,Adelaide,Greater Adelaide,691.0,526.0,165.0
2003-08-01,Perth,Greater Perth,1558.0,1300.0,258.0
2003-08-01,Hobart,Greater Hobart,106.0,106.0,0.0
2003-08-01,Darwin,Greater Darwin,46.0,29.0,17.0
2003-08-01,ACT,Australian Capital Territory,126.0,124.0,2.0
2003-09-01,Sydney,Greater Sydney,3208.0,1042.0,2166.0
2003-09-01,Melbourne,Greater Melbourne,3333.0,1988.0,1345.0
2003-09-01,Brisbane,Greater Brisbane,2062.0,1210.0,852.0
2003-09-01,Adelaide,Greater Adelaide,794.0,629.0,165.0
2003-09-01,Perth,Greater Perth,1658.0,1385.0,273.0
2003-09-01,Hobart,Greater Hobart,127.0,105.0,22.0
2003-09-01,Darwin,Greater Darwin,183.0,31.0,152.0
2003-09-01,ACT,Australian Capital Territory,368.0,162.0,206.0
2003-10-01,Sydney,Greater Sydney,2596.0,893.0,1703.0
2003-10-01,Melbourne,Greater Melbourne,4066.0,2279.0,1787.0
2003-10-01,Brisbane,Greater Brisbane,1855.0,1216.0,639.0
2003-10-01,Adelaide,Greater Adelaide,1013.0,570.0,443.0
2003-10-01,Perth,Greater Perth,2001.0,1640.0,361.0
2003-10-01,Hobart,Greater Hobart,89.0,81.0,8.0
2003-10-01,Darwin,Greater Darwin,84.0,30.0,54.0
2003-10-01,ACT,Australian Capital Territory,485.0,186.0,299.0
2003-11-01,Sydney,Greater Sydney,2074.0,850.0,1224.0
2003-11-01,Melbourne,Greater Melbourne,2576.0,2033.0,543.0
2003-11-01,Brisbane,Greater Brisbane,1552.0,1095.0,457.0
2003-11-01,Adelaide,Greater Adelaide,636.0,512.0,124.0
2003-11-01,Perth,Greater Perth,1539.0,1301.0,238.0
2003-11-01,Hobart,Greater Hobart,106.0,106.0,0.0
2003-11-01,Darwin,Greater Darwin,43.0,17.0,26.0
2003-11-01,ACT,Australian Capital Territory,125.0,121.0,4.0
2003-12-01,Sydney,Greater Sydney,2559.0,884.0,1675.0
2003-12-01,Melbourne,Greater Melbourne,2421.0,1769.0,652.0
2003-12-01,Brisbane,Greater Brisbane,1689.0,1167.0,522.0
2003-12-01,Adelaide,Greater Adelaide,973.0,637.0,336.0
2003-12-01,Perth,Greater Perth,1550.0,1395.0,155.0
2003-12-01,Hobart,Greater Hobart,156.0,126.0,30.0
2003-12-01,Darwin,Greater Darwin,80.0,33.0,47.0
2003-12-01,ACT,Australian Capital Territory,144.0,96.0,48.0
2004-01-01,Sydney,Greater Sydney,1658.0,511.0,1147.0
2004-01-01,Melbourne,Greater Melbourne,2913.0,1492.0,1421.0
2004-01-01,Brisbane,Greater Brisbane,1388.0,963.0,425.0
2004-01-01,Adelaide,Greater Adelaide,537.0,351.0,186.0
2004-01-01,Perth,Greater Perth,1294.0,1072.0,222.0
2004-01-01,Hobart,Greater Hobart,79.0,70.0,9.0
2004-01-01,Darwin,Greater Darwin,30.0,18.0,12.0
2004-01-01,ACT,Australian Capital Territory,114.0,68.0,46.0
2004-02-01,Sydney,Greater Sydney,2624.0,778.0,1846.0
2004-02-01,Melbourne,Greater Melbourne,2388.0,1770.0,618.0
2004-02-01,Brisbane,Greater Brisbane,1410.0,1072.0,338.0
2004-02-01,Adelaide,Greater Adelaide,673.0,536.0,137.0
2004-02-01,Perth,Greater Perth,1641.0,1202.0,439.0
